강수분석,,
[검색조건],,
자료구분 : 일,,
자료형태 : 기본,,
지역/지점 : 서울,,
기간 : 20180101~20210630,,
,,
날짜,지점,강수량(mm)
2018.10.18,108,
2018.10.19,108,
2018.10.20,108,
2018.10.21,108,
2018.10.22,108,
2018.10.23,108,5
2018.10.24,108,
2018.10.25,108,
2018.10.26,108,11
2018.10.27,108,
2018.10.28,108,5.5
2018.10.29,108,0
2018.10.30,108,0
2018.10.31,108,0
2018.11.1,108,
2018.11.2,108,
2018.11.3,108,
2018.11.4,108,
2018.11.5,108,
2018.11.6,108,
2018.11.7,108,2
2018.11.8,108,64
2018.11.9,108,1
2018.11.10,108,0
2018.11.11,108,0
2018.11.12,108,
2018.11.13,108,
2018.11.14,108,
2018.11.15,108,
2018.11.16,108,
2018.11.17,108,
2018.11.18,108,
2018.11.19,108,
2018.11.20,108,0.2
2018.11.21,108,1
2018.11.22,108,
2018.11.23,108,
2018.11.24,108,10.9
2018.11.25,108,
2018.11.26,108,
2018.11.27,108,
2018.11.28,108,
2018.11.29,108,0
2018.11.30,108,
2018.12.1,108,
2018.12.2,108,
2018.12.3,108,9.5
2018.12.4,108,5
2018.12.5,108,
2018.12.6,108,0
2018.12.7,108,
2018.12.8,108,
2018.12.9,108,
2018.12.10,108,
2018.12.11,108,
2018.12.12,108,
2018.12.13,108,1.3
2018.12.14,108,
2018.12.15,108,
2018.12.16,108,0.3
2018.12.17,108,0.3
2018.12.18,108,
2018.12.19,108,
2018.12.20,108,
2018.12.21,108,
2018.12.22,108,
2018.12.23,108,
2018.12.24,108,
2018.12.25,108,
2018.12.26,108,
2018.12.27,108,
2018.12.28,108,
2018.12.29,108,
2018.12.30,108,
2018.12.31,108,
2019.1.1,108,
2019.1.2,108,
2019.1.3,108,
2019.1.4,108,
2019.1.5,108,
2019.1.6,108,
2019.1.7,108,
2019.1.8,108,
2019.1.9,108,
2019.1.10,108,
2019.1.11,108,
2019.1.12,108,
2019.1.13,108,
2019.1.14,108,
2019.1.15,108,0
2019.1.16,108,0
2019.1.17,108,0
2019.1.18,108,
