강수분석,,
[검색조건],,
자료구분 : 일,,
자료형태 : 기본,,
지역/지점 : 서울,,
기간 : 20180101~20210630,,
,,
날짜,지점,강수량(mm)
2021.5.29,108,0.3
2021.5.30,108,18.1
2021.5.31,108,4
2021.6.1,108,3.2
2021.6.2,108,
2021.6.3,108,18.1
2021.6.4,108,
2021.6.5,108,
2021.6.6,108,
2021.6.7,108,0
2021.6.8,108,0.1
2021.6.9,108,
2021.6.10,108,6.1
2021.6.11,108,4.6
2021.6.12,108,
2021.6.13,108,
2021.6.14,108,
2021.6.15,108,1.9
2021.6.16,108,
2021.6.17,108,0
2021.6.18,108,6.3
2021.6.19,108,
2021.6.20,108,
2021.6.21,108,
2021.6.22,108,0
2021.6.23,108,7.5
2021.6.24,108,
2021.6.25,108,
2021.6.26,108,4.5
2021.6.27,108,38.2
2021.6.28,108,0.1
2021.6.29,108,8
2021.6.30,108,6
